tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,tripduration_datetime
439,2020-03-01 11:14:14.5870,2020-03-01 11:21:33.8060,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3681,Grand St,40.71517767732029,-74.03768330812454,42109,Customer,1969,0,1970-01-01 07:19:00
79,2020-03-01 11:16:11.0630,2020-03-01 11:17:30.5540,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,42277,Subscriber,1990,1,1970-01-01 01:19:00
394,2020-03-01 11:18:03.9430,2020-03-01 11:24:38.7580,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73089709786179,-74.06391263008118,42352,Subscriber,1994,1,1970-01-01 06:34:00
142,2020-03-01 11:20:19.9920,2020-03-01 11:22:42.7270,3639,Harborside,40.7192517,-74.034234,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42503,Subscriber,1984,1,1970-01-01 02:22:00
996,2020-03-01 11:21:20.1160,2020-03-01 11:37:56.3850,3280,Astor Place,40.71928220070702,-74.07126188278198,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42590,Subscriber,1984,1,1970-01-01 16:36:00
148,2020-03-01 11:22:47.2670,2020-03-01 11:25:15.2890,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,42546,Subscriber,1987,1,1970-01-01 02:28:00
480,2020-03-01 11:23:54.0510,2020-03-01 11:31:54.6360,3207,Oakland Ave,40.7376037,-74.0524783,3211,Newark Ave,40.72152515,-74.046304543,42205,Subscriber,1979,2,1970-01-01 08:00:00
169,2020-03-01 11:24:29.5380,2020-03-01 11:27:19.0590,3203,Hamilton Park,40.727595966,-74.044247311,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42381,Subscriber,1965,2,1970-01-01 02:49:00
594,2020-03-01 11:25:12.8240,2020-03-01 11:35:07.5100,3209,Brunswick St,40.7241765,-74.0506564,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42499,Subscriber,1974,1,1970-01-01 09:54:00
110,2020-03-01 11:31:29.4830,2020-03-01 11:33:20.4280,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,42596,Subscriber,1991,1,1970-01-01 01:50:00
826,2020-03-01 11:31:53.6390,2020-03-01 11:45:39.9550,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,42429,Subscriber,1954,1,1970-01-01 13:46:00
248,2020-03-01 11:32:59.0540,2020-03-01 11:37:07.7860,3206,Hilltop,40.7311689,-74.0575736,3640,Journal Square,40.73367,-74.0625,42601,Subscriber,1970,1,1970-01-01 04:08:00
207,2020-03-01 11:34:33.3120,2020-03-01 11:38:01.0900,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3203,Hamilton Park,40.727595966,-74.044247311,42381,Subscriber,1965,2,1970-01-01 03:27:00
477,2020-03-01 11:38:16.4970,2020-03-01 11:46:13.5010,3694,Jackson Square,40.71113,-74.0789,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,42440,Subscriber,1997,2,1970-01-01 07:57:00
297,2020-03-01 11:41:34.1150,2020-03-01 11:46:31.3930,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42546,Subscriber,1977,2,1970-01-01 04:57:00
